KEY;W.37.1;W.37.2.1;W.37.2.2;W.37.2.3;W.37.2.4;W.37.2.5;W.37.2.6.1;W.37.2.6.2;W.37.2.6.3;W.37.2.6.4;W.37.2.7;W.37.2.8;W.37.2.9;W.37.2.10;W.37.2.11;W.37.3.1;W.37.3.2;W.37.3.3;W.37.3.4;W.37.3.5;W.37.3.6.1;W.37.3.6.2;W.37.3.6.3;W.37.3.6.4;W.37.3.7;W.37.4.1;W.37.4.2;W.37.4.3;W.37.4.4;W.37.4.5;W.37.4.6.1;W.37.4.6.2;W.37.4.6.3;W.37.4.6.4;W.37.4.7;W.37.4.8.1;W.37.4.8.2;W.37.4.8.3;W.37.4.8.4;W.37.4.8.5;W.37.4.8.6;W.37.4.8.7;W.37.4.9.1;W.37.4.9.2;W.37.4.9.3;W.37.4.10.1;W.37.4.10.2.1;W.37.4.10.2.2;W.37.4.10.2.3;W.37.4.10.2.4;W.37.4.10.3.1;W.37.4.10.3.2;W.37.4.10.3.3;W.37.5.1;W.37.5.2;W.37.5.3;W.37.5.4;W.37.5.5;W.37.6.1;W.37.6.2.1;W.37.6.2.2;W.37.6.2.3;W.37.6.2.4;W.37.6.2.5;W.37.6.2.6;W.37.6.2.7.1;W.37.6.2.7.2;W.37.6.2.7.3;W.37.6.2.7.4;W.37.6.2.7.5;W.37.6.2.7.6;W.37.6.2.7.7;W.37.6.2.7.8;W.37.6.2.7.9
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M11I01;17; ;02.09.2017; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M11I02;17; ;02.09.2017; ;4; ; ; ; ; ; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12;R12I02;1; ;10.07.2021; ;4;R12I0201; ;100;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12I04;1; ;10.07.2021; ;4;R12I0401; ;8;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12I0403; ;0.85;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12I0402; ;2.25;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12I0404; ;0.75;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12I05;1; ;26.11.2022; ;4;R12I0503; ;100;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12I0504; ;100;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12I0505; ;100;4;4; ; ; ; 
5838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R12I0506; ;100;4;4; ; ; ; 
